,English,Japanese,Russian,Chinese (simplified)
John,John Harrigan,,,
,"Founder | Based in Moscow, Russia",創設者｜ロシア・モスクワ在住,"Основатель | Москва, Россия",创始人｜常驻俄罗斯莫斯科
,"English, Japanese, Chinese, Hindi, and Russian",,,
,"John Harrigan is the founder of Harrigan Academy and brings over 30 years of experience teaching languages around the world. Having lived and worked across multiple cultures, he is passionate about helping students build confidence in speaking English while developing a deeper appreciation for language and communication.
John believes that learning a language should be both practical and enjoyable, encouraging students to step outside their comfort zones and discover their full potential.
","ジョン・ハリガンはハリガン・アカデミーの創設者であり、世界各地で30年以上にわたり語学を教えてきた経験を持っています。さまざまな文化の中で生活し働いてきた経験から、生徒が英語で自信を持って話せるようになること、そして言語やコミュニケーションへの理解を深めることに情熱を注いでいます。
ジョンは、語学学習は実用的であると同時に楽しいものであるべきだと考えており、生徒が自分の殻を破り、本来の可能性を発見できるよう励ましています。","Джон Харриган — основатель Harrigan Academy и преподаватель с более чем 30-летним опытом обучения языкам по всему миру. Живя и работая в разных культурах, он стремится помочь студентам обрести уверенность в разговорном английском и глубже понять язык и общение.
Джон считает, что изучение языка должно быть одновременно практичным и увлекательным, побуждая студентов выходить из зоны комфорта и раскрывать свой потенциал.","约翰·哈里根是 Harrigan Academy 的创始人，拥有超过30年在世界各地教授语言的经验。由于在不同文化环境中生活和工作的经历，他热衷于帮助学生建立英语口语的自信，同时加深对语言和沟通的理解。
约翰认为，语言学习应该既实用又充满乐趣，并鼓励学生走出舒适区，发现并发挥自己的潜力。"
,,,,
Keiko,Keiko Harrigan,,,
,"Keiko Harrigan has more than 15 years of experience teaching students of different ages and backgrounds. Her lessons focus on building strong language foundations while helping students feel comfortable expressing themselves in English.
She believes that consistent encouragement and structured practice help students grow in both confidence and communication skills.
","ケイコ・ハリガンは、さまざまな年齢や背景を持つ生徒に15年以上英語を教えてきた経験があります。彼女のレッスンは、しっかりとした語学の基礎を築きながら、生徒が英語で安心して自分を表現できるようサポートすることに重点を置いています。
継続的な励ましと体系的な練習が、生徒の自信とコミュニケーション力の成長につながると信じています。","Кейко Харриган имеет более 15 лет опыта преподавания студентам разного возраста и с различным опытом. Её занятия направлены на создание прочной языковой базы и помогают студентам чувствовать себя уверенно, выражая свои мысли на английском языке.
Она убеждена, что регулярная поддержка и структурированная практика помогают студентам развивать уверенность и коммуникативные навыки.","惠子·哈里根拥有超过15年的教学经验，教授过不同年龄和背景的学生。她的课程注重建立扎实的语言基础，同时帮助学生在用英语表达自己时感到更加自信和自然。
她相信，持续的鼓励和系统化的练习能够帮助学生在自信心和沟通能力方面不断成长。"
,,,,
Elizabeth,Elizabeth Crawford,,,
,"Elizabeth Crawford has over 25 years of experience teaching languages to children, teenagers, and adults. Her teaching style focuses on creating an engaging and supportive learning environment where students feel comfortable practicing and improving their English.
She enjoys helping learners connect language with culture, making lessons both meaningful and memorable.
","エリザベス・クロフォードは、子どもから大人まで25年以上にわたり語学を教えてきた経験があります。彼女の指導スタイルは、魅力的でサポートのある学習環境を作り、生徒が安心して英語を練習し、上達できるようにすることに重点を置いています。
また、言語と文化を結びつけて学べるようサポートし、意味があり記憶に残るレッスンを提供することを大切にしています。","Элизабет Кроуфорд имеет более 25 лет опыта преподавания языков детям, подросткам и взрослым. Её стиль преподавания направлен на создание увлекательной и поддерживающей учебной среды, в которой студенты чувствуют себя уверенно, практикуя и улучшая свой английский.
Ей нравится помогать студентам связывать язык с культурой, делая уроки интересными и запоминающимися.","伊丽莎白·克劳福德拥有超过25年的语言教学经验，教授对象包括儿童、青少年和成年人。她的教学风格注重营造积极和支持性的学习环境，让学生能够轻松练习并不断提升英语水平。
她也非常喜欢帮助学生把语言与文化联系起来，让课堂既有意义又令人难忘。"
