,English,Japanese,Russian,Chinese (simplified)
Header,Why Us,私たちについて,О нас,关于我们
,About Our Program,プログラムについて,О нашей программе,关于我们的课程
,Our Teachers,講師紹介,Наши преподаватели,我们的老师
,FAQ,よくある質問,Часто задаваемые вопросы,常见问题
,,,,
Hero 1,Fun Online Classes to improve your English!,楽しく学べるオンライン英語クラス,Увлекательные онлайн-уроки английского,有趣的在线英语课程
,With experienced international teachers who care about your progress.,経験豊かな国際的な講師が、あなたの成長をしっかりサポートします,"С опытными международными преподавателями, которые заботятся о вашем прогрессе",由经验丰富的国际教师指导，关心您的学习进步。
,Start Learning Today,学び始める,Начать обучение,开始学习
,,,,
Hero 2,Personal 1:1 Lessons designed just for you,あなたのためのマンツーマンレッスン,Индивидуальные занятия один на один,为你量身打造的一对一课程
,Learn at your own pace with a teacher focused entirely on your progress,あなたのペースに合わせて、成長に寄り添う講師と学びます,"Учитесь в своем темпе с преподавателем, полностью сосредоточенным на вашем прогрессе",按照自己的节奏学习，由老师专注指导你的进步
,Start Learning Today,学び始める,Начать обучение,开始学习
,,,,
Hero 3,Learn Together in Small Groups,少人数グループで一緒に学ぶ,Учитесь вместе в небольших группах,小组学习，共同进步
,Interactive classes with batches of 5–6 students,5～6名の少人数で行うインタラクティブなクラス,Интерактивные занятия в группах по 5–6 студентов,5–6人小班的互动课程
,Start Learning Today,学び始める,Начать обучение,开始学习
,,,,
Hero 4,Teachers from Around the World,世界中から集まった講師,Преподаватели со всего мира,来自世界各地的教师
,Educators who bring global and multilingual perspective,国際的で多言語の視点を持つ講師陣,Преподаватели с международным и многоязычным опытом,拥有全球视野和多语言背景的教师团队
,Start Learning Today,学び始める,Начать обучение,开始学习
,,,,
Hero 5,Learning That Feels Natural,自然に身につく学び,"Обучение, которое происходит естественно",自然轻松的学习方式
,Flexible classes that fit easily into your daily routine,日常生活に合わせて学べる柔軟なレッスン,"Гибкие занятия, которые легко вписываются в ваш распорядок дня",灵活的课程，轻松融入你的日常生活
,Start Learning Today,学び始める,Начать обучение,开始学习
,,,,
Features,Live Virtual Classes,ライブオンラインレッスン,Живые онлайн-занятия,实时在线课程
,International Teachers,国際的な講師陣,Международные преподаватели,国际教师团队
,For all Age Ranges,すべての年齢に対応,Для всех возрастов,适合所有年龄段
,"Learn Anytime, Anywhere",いつでも、どこでも学べる,Учитесь в любое время и в любом месте,随时随地学习
,,,,
Why Us,Why Students Love Harrigan Academy,生徒がハリガン・アカデミーを選ぶ理由,Почему студенты любят Harrigan Academy,学生为什么喜欢 Harrigan Academy
,Learn with Support,サポート付きで学ぶ,Учитесь с поддержкой,在支持中学习
,"We use gestures, viusals, & step-by-step promps so students learn naturally",ジェスチャーやビジュアル、段階的なサポートを使い、自然に学べるようにします,"Мы используем жесты, наглядные материалы и пошаговые подсказки, чтобы ученики учились естественно",我们通过手势、视觉材料和循序渐进的引导，让学生自然地学习
,Speaking-first Routine,スピーキング重視の学習法,Метод обучения с упором на разговорную речь,以口语为主的学习方式
,"Students repeat, respond and role-play to build confident speaking skills.",生徒は繰り返し、応答し、ロールプレイを通して自信を持って話す力を身につけます。,"Студенты повторяют, отвечают и участвуют в ролевых играх, чтобы развивать уверенные разговорные навыки.",学生通过重复练习、回应和角色扮演，逐步建立自信的口语能力。
,Play-based learning,遊びを取り入れた学習,Обучение через игру,游戏式学习
,"Interactive stories, games, songs and conversations make learning fun!",インタラクティブな物語、ゲーム、歌、会話で楽しく学べます！,"Интерактивные истории, игры, песни и разговоры делают обучение увлекательным!",互动故事、游戏、歌曲和对话，让学习变得有趣！
,,,,
Banner,Focused Attention. Faster Progress.,集中した指導で、より早く上達,Максимальное внимание. Быстрый прогресс.,专注指导，更快进步
,,,,
About Us,Full Immersion,完全イマージョン,Полное погружение,沉浸式学习
,"Our teachers speak only English, so children learn to think and speak while immersed in an English-language learning environment. This helps them concentrate and achieve better results.",講師は英語のみで授業を行うため、子どもたちは英語環境の中で考え、話す力を自然に身につけます。これにより集中力が高まり、より良い学習成果につながります。,"Наши преподаватели ведут занятия только на английском языке, поэтому дети учатся думать и говорить, полностью погружаясь в англоязычную среду. Это помогает им лучше концентрироваться и достигать лучших результатов.",我们的老师在课堂上只使用英语，让孩子们沉浸在英语环境中学习思考和表达。这有助于他们更加专注，并取得更好的学习效果。
,Multi-culture Exposure,多文化とのふれあい,Знакомство с разными культурами,多元文化体验
,"All of our teachers speak several languages ​​and are based around the world. They all grew up in multicultural environments, making it interesting and easy to find common ground.",私たちの講師は複数の言語を話し、世界各地で活動しています。多文化環境で育った経験があり、生徒と自然に共通点を見つけながら学びを深めます。,"Все наши преподаватели владеют несколькими языками и живут в разных странах мира. Они выросли в многонациональной среде, поэтому легко находят общий язык со студентами.",我们的老师来自世界各地，能够使用多种语言交流，并在多元文化环境中成长。这让他们更容易与学生建立联系并找到共同点。
,Teaching Methodology,指導メソッド,Методика обучения,教学方法
